Fighter Name,Birth Date,Height,Weight,Wins,Losses,Win KO,Win TKO Rate,Win Submission,Win Submission Rate,Win Decisions,Win Decisions Rate,Lose KO,Lose TKO Rate,Lose Submission,Lose Submission Rate,Lose Decisions,Lose Decisions Rate,Final Result,Opponent Name,Event Time,Win By,Round,Win Time
Sharabutdin Magomedov,16-May-94,6'2",186 lbs,15,1,12,80%,0,0%,3,20%,0,0%,0,0%,1,100%,loss,Michael Page,Feb / 01 / 2025,Decision (Unanimous),3,5:00
Sharabutdin Magomedov,16-May-94,6'2",186 lbs,15,1,12,80%,0,0%,3,20%,0,0%,0,0%,1,100%,win,Armen Petrosyan,Oct / 26 / 2024,KO (Spinning Backfists),2,4:52
Sharabutdin Magomedov,16-May-94,6'2",186 lbs,15,1,12,80%,0,0%,3,20%,0,0%,0,0%,1,100%,win,Michal Oleksiejczuk,Aug / 03 / 2024,Decision (Unanimous),3,5:00
Sharabutdin Magomedov,16-May-94,6'2",186 lbs,15,1,12,80%,0,0%,3,20%,0,0%,0,0%,1,100%,win,Antonio Trocoli,Jun / 22 / 2024,TKO (Knee and Punches),3,2:27
Sharabutdin Magomedov,16-May-94,6'2",186 lbs,15,1,12,80%,0,0%,3,20%,0,0%,0,0%,1,100%,win,Bruno Silva,Oct / 21 / 2023,Decision (Unanimous),3,5:00
Sharabutdin Magomedov,16-May-94,6'2",186 lbs,15,1,12,80%,0,0%,3,20%,0,0%,0,0%,1,100%,win,Kushal Vyas,Dec / 11 / 2022,KO (Knee and Punches),1,0:08
Sharabutdin Magomedov,16-May-94,6'2",186 lbs,15,1,12,80%,0,0%,3,20%,0,0%,0,0%,1,100%,win,Mikhail Ragozin,Dec / 03 / 2022,Decision (Unanimous),3,5:00
Sharabutdin Magomedov,16-May-94,6'2",186 lbs,15,1,12,80%,0,0%,3,20%,0,0%,0,0%,1,100%,win,Sergey Martynov,Aug / 13 / 2022,TKO (Knees),3,2:34
Sharabutdin Magomedov,16-May-94,6'2",186 lbs,15,1,12,80%,0,0%,3,20%,0,0%,0,0%,1,100%,win,Rodrigo Carlos,Feb / 26 / 2022,TKO (Punches),1,4:33
Sharabutdin Magomedov,16-May-94,6'2",186 lbs,15,1,12,80%,0,0%,3,20%,0,0%,0,0%,1,100%,win,Joel dos Santos,Nov / 27 / 2021,KO (Hook Kick),2,0:13
