fighter_name,status,age,height,weight,division,total_status,win_by_knockout,win_by_submission,title_defence,striking_accuracy,sig_Strikes_landed,sig_Strikes_attempted,takeDown_accuracy,takeDown_landed,takeDown_attempted,sig_str_landed_per_min,sig_str_absorbed_per_min,takeDown_avg_per_15_min,submission_avg_per_15_min,sig_str_defence,takeDown_defence,knockdown_avg,avg_fight_fime,sig_str_by_position_standing,sig_str_by_position_clinch,sig_str_by_position_ground,win_by_method_KO_TKO,win_by_method_DEC,win_by_method_SUB,sig_str_by_target_head,sig_str_by_target_head_percent,sig_str_by_target_body,sig_str_by_target_body_percent,sig_str_by_target_leg,sig_str_by_target_leg_percent,fight_history
Felipe Bunes,Active,35,67.00,126.00,Flyweight Division,14-7-0 (W-L-D),2,9,9,53,52,98,25,2,8,4.49,7.86,2.59,2.59,"41
                  %",N/A,0.00,05:48,51 (98%),1 (2%),0 (0%),2 (14%),3 (21%),9 (64%),31,60%,11,21%,10,19%,"[['Johnson', 'Jan. 11, 2025', '1', '2:04', 'Submission'], ['Van', 'Jan. 13, 2024', '2', '4:31', 'KO/TKO']]",Johnson,"Jan. 11, 2025",1,2:04,Submission
Felipe Bunes,Active,35,67.00,126.00,Flyweight Division,14-7-0 (W-L-D),2,9,9,53,52,98,25,2,8,4.49,7.86,2.59,2.59,"41
                  %",N/A,0.00,05:48,51 (98%),1 (2%),0 (0%),2 (14%),3 (21%),9 (64%),31,60%,11,21%,10,19%,"[['Johnson', 'Jan. 11, 2025', '1', '2:04', 'Submission'], ['Van', 'Jan. 13, 2024', '2', '4:31', 'KO/TKO']]",Van,"Jan. 13, 2024",2,4:31,KO/TKO
Igor Severino,Active,20,67.00,125.00,Flyweight Division,8-1-0 (W-L-D),4,4,3,52,111,212,71,5,14,7.17,4.33,9.69,0.00,"48
                  %","50
                      %",1.94,07:45,71 (64%),4 (4%),36 (32%),4 (50%),0 (0%),4 (50%),83,75%,16,14%,12,11%,"[['Severino', 'Mar. 23, 2024', '2', '2:52', 'DQ']]",Severino,"Mar. 23, 2024",2,2:52,DQ
Jhonata Diniz,Active,33,76.00,253.20,Heavyweight Division,8-1-0 (W-L-D),7,6,N/A,53,119,224,N/A,N/A,N/A,3.36,2.96,0.00,0.00,"50
                  %","69
                      %",1.27,08:52,106 (89%),7 (6%),6 (5%),7 (88%),1 (13%),0 (0%),81,68%,10,8%,28,24%,"[['Tybura', 'Nov. 16, 2024', '2', '5:00', ""TKO - Doctor's Stoppage""], ['Diniz', 'Aug. 10, 2024', '3', '5:00', 'Decision - Unanimous'], ['Lane', 'Apr. 27, 2024', '2', '2:12', 'KO/TKO']]",Tybura,"Nov. 16, 2024",2,5:00,TKO - Doctor's Stoppage
Jhonata Diniz,Active,33,76.00,253.20,Heavyweight Division,8-1-0 (W-L-D),7,6,N/A,53,119,224,N/A,N/A,N/A,3.36,2.96,0.00,0.00,"50
                  %","69
                      %",1.27,08:52,106 (89%),7 (6%),6 (5%),7 (88%),1 (13%),0 (0%),81,68%,10,8%,28,24%,"[['Tybura', 'Nov. 16, 2024', '2', '5:00', ""TKO - Doctor's Stoppage""], ['Diniz', 'Aug. 10, 2024', '3', '5:00', 'Decision - Unanimous'], ['Lane', 'Apr. 27, 2024', '2', '2:12', 'KO/TKO']]",Diniz,"Aug. 10, 2024",3,5:00,Decision - Unanimous
Jhonata Diniz,Active,33,76.00,253.20,Heavyweight Division,8-1-0 (W-L-D),7,6,N/A,53,119,224,N/A,N/A,N/A,3.36,2.96,0.00,0.00,"50
                  %","69
                      %",1.27,08:52,106 (89%),7 (6%),6 (5%),7 (88%),1 (13%),0 (0%),81,68%,10,8%,28,24%,"[['Tybura', 'Nov. 16, 2024', '2', '5:00', ""TKO - Doctor's Stoppage""], ['Diniz', 'Aug. 10, 2024', '3', '5:00', 'Decision - Unanimous'], ['Lane', 'Apr. 27, 2024', '2', '2:12', 'KO/TKO']]",Lane,"Apr. 27, 2024",2,2:12,KO/TKO
Shamil Gaziev,Active,34,76.00,260.00,Heavyweight Division,14-1-0 (W-L-D),9,3,9,48,120,248,30,,10,2.57,3.87,0.96,0.32,"45
                  %","83
                      %",0.64,09:21,78 (65%),25 (21%),17 (14%),9 (64%),2 (14%),3 (21%),86,72%,32,27%,2,2%,"[['Gaziev', 'Feb. 1, 2025', '1', '3:12', 'KO/TKO'], ['Gaziev', 'Aug. 3, 2024', '3', '5:00', 'Decision - Unanimous'], ['Rozenstruik', 'Mar. 2, 2024', '4', '5:00', 'KO/TKO']]",Gaziev,"Feb. 1, 2025",1,3:12,KO/TKO
Shamil Gaziev,Active,34,76.00,260.00,Heavyweight Division,14-1-0 (W-L-D),9,3,9,48,120,248,30,,10,2.57,3.87,0.96,0.32,"45
                  %","83
                      %",0.64,09:21,78 (65%),25 (21%),17 (14%),9 (64%),2 (14%),3 (21%),86,72%,32,27%,2,2%,"[['Gaziev', 'Feb. 1, 2025', '1', '3:12', 'KO/TKO'], ['Gaziev', 'Aug. 3, 2024', '3', '5:00', 'Decision - Unanimous'], ['Rozenstruik', 'Mar. 2, 2024', '4', '5:00', 'KO/TKO']]",Gaziev,"Aug. 3, 2024",3,5:00,Decision - Unanimous
Shamil Gaziev,Active,34,76.00,260.00,Heavyweight Division,14-1-0 (W-L-D),9,3,9,48,120,248,30,,10,2.57,3.87,0.96,0.32,"45
                  %","83
                      %",0.64,09:21,78 (65%),25 (21%),17 (14%),9 (64%),2 (14%),3 (21%),86,72%,32,27%,2,2%,"[['Gaziev', 'Feb. 1, 2025', '1', '3:12', 'KO/TKO'], ['Gaziev', 'Aug. 3, 2024', '3', '5:00', 'Decision - Unanimous'], ['Rozenstruik', 'Mar. 2, 2024', '4', '5:00', 'KO/TKO']]",Rozenstruik,"Mar. 2, 2024",4,5:00,KO/TKO
Bruno Lopes,Active,MMA,31,74.00,Light Heavyweight Division,14-1-0 (W-L-D),6,5,7,44,81,186,33,5,15,2.89,3.00,2.68,0.00,"60
                  %","100
                      %",0.00,09:20,55 (68%),23 (28%),3 (4%),6 (43%),3 (21%),5 (36%),50,62%,18,22%,13,16%,"[['Gadzhiyasulov', 'Jan. 11, 2025', '3', '5:00', 'Decision - Unanimous']]",Gadzhiyasulov,"Jan. 11, 2025",3,5:00,Decision - Unanimous
