Name,NickName,Age,Birthday,Gender,Height,Weight,Weight_class,Url,RecordDraws,RecordLosses,RecordNoContests,RecordWins,WeightClassAbbreviation,WeightClassId,Stance
Wuziazibieke Jiahefu,Prairie Kitty,34,4/9/1990,Male,69,145,Featherweight,http://www.ufc.com/athlete/wuziazibieke-jiahefu,1,12,0,29,FTW,6,Orthodox
Felipe Bunes,Felipinho,35,10/29/1989,Male,67,125,Flyweight,http://www.ufc.com/athlete/felipe-bunes,0,7,0,14,FLW,8,Orthodox
Igor Severino,N/A,21,4/21/2003,Male,67,125,Flyweight,http://www.ufc.com/athlete/igor-severino,0,1,0,8,FLW,8,Orthodox
Jhonata Diniz,N/A,33,6/23/1991,Male,76,254,Heavyweight,http://www.ufc.com/athlete/jhonata-diniz,0,1,0,8,HW,1,Orthodox
Feng Pengchao,N/A,N/A,N/A,Male,N/A,135,Featherweight,http://www.ufc.com/athlete/feng-pengchao,1,9,0,15,FTW,6,N/A
Shamil Gaziev,N/A,34,2/10/1990,Male,76,265,Heavyweight,http://www.ufc.com/athlete/shamil-gaziev,0,1,0,13,HW,1,Orthodox
Chad Hanekom,Superman,34,4/20/1990,Male,76,185,Middleweight,http://www.ufc.com/athlete/chad-hanekom,0,3,0,9,MW,3,Orthodox
Bruno Lopes,Brunao,31,4/24/1993,Male,74,205,Light Heavyweight,http://www.ufc.com/athlete/bruno-lopes,0,1,0,14,LHW,2,Orthodox
Lu Zhengyong,N/A,N/A,N/A,Male,N/A,125,Flyweight,http://www.ufc.com/athlete/lu-zhengyong,0,7,0,12,FLW,8,N/A
Brendson Ribeiro,The Gorilla,28,9/8/1996,Male,75,205,Light Heavyweight,http://www.ufc.com/athlete/brendson-ribeiro,0,7,1,16,LHW,2,Orthodox
Cam Rowston,Battle Giraffe,30,1/19/1995,Male,74,185,Middleweight,http://www.ufc.com/athlete/cameron-rowston,0,3,0,8,MW,3,Orthodox
Jhonata Silva,N/A,27,4/24/1997,Male,65,125,Flyweight,http://www.ufc.com/athlete/jhonata-silva,0,2,0,8,FLW,8,Orthodox
Greg Velasco,The Viking King,31,9/23/1993,Male,74,265,Heavyweight,http://www.ufc.com/athlete/greg-velasco,0,1,0,6,HW,1,Southpaw
Patricia Alujas,The Angel,28,5/8/1996,Female,64,115,Womens Strawweight,http://www.ufc.com/athlete/patricia-alujas,0,3,0,9,WSW,32,Orthodox
Stephanie Luciano,Rondinha,25,12/16/1999,Female,66,115,Womens Strawweight,http://www.ufc.com/athlete/stephanie-bruna-luciano,1,1,0,6,WSW,32,Orthodox
Rainn Guerrero,Purple Rainn,32,5/13/1992,Female,66,125,Womens Strawweight,http://www.ufc.com/athlete/rainn-guerrero,0,2,0,5,WSW,32,Orthodox
Corinne Laframboise,N/A,35,5/25/1989,Female,64,125,Womens Flyweight,http://www.ufc.com/athlete/corinne-laframboise,0,5,0,8,WFLW,35,Orthodox
Fabiola Pidroni,The Queen,31,1/4/1994,Female,N/A,115,Womens Strawweight,http://www.ufc.com/athlete/fabiola-pidroni,0,0,0,5,WSW,32,N/A
Junye Gao,N/A,N/A,N/A,Male,N/A,125,Bantamweight,http://www.ufc.com/athlete/junye-gao,0,12,0,19,BW,7,N/A
Hyder Amil,The Hurricane,34,5/28/1990,Male,69,145,Featherweight,http://www.ufc.com/athlete/hyder-amil,0,0,0,10,FTW,6,Switch
Kaik Brito,N/A,27,3/26/1997,Male,71,170,Lightweight,http://www.ufc.com/athlete/kaik-brito,0,5,0,16,LW,5,Orthodox
Timmy Cuamba,Twilight,25,2/8/1999,Male,69,145,Featherweight,http://www.ufc.com/athlete/timmy-cuamba,0,3,0,8,FTW,6,Orthodox
Mike Davis,N/A,N/A,N/A,Male,N/A,0,Featherweight,https://www.ufc.com/athlete/mike-davis,0,0,0,2,FTW,6,N/A
Oban Elliott,The Welsh Gangster,27,12/19/1997,Male,72,170,Welterweight,http://www.ufc.com/athlete/oban-elliott,0,2,0,12,WW,4,Orthodox
Charalampos Grigoriou,Ferocious,32,3/31/1992,Male,67,135,Bantamweight,http://www.ufc.com/athlete/charalampos-grigoriou,0,5,0,8,BW,7,Orthodox
Bolaji Oki,The Zulu Warrior,29,11/15/1995,Male,70,155,Lightweight,http://www.ufc.com/athlete/bolaji-oki,0,2,0,9,LW,5,Orthodox
Mitch Ramirez,N/A,32,11/3/1992,Male,71,155,Welterweight,http://www.ufc.com/athlete/mitch-ramirez,0,2,0,8,WW,4,Orthodox
Dylan Salvador,N/A,31,5/20/1993,Male,69,155,Lightweight,http://www.ufc.com/athlete/dylan-salvador,0,2,0,5,LW,5,Southpaw
Jean Silva,Lord,28,12/27/1996,Male,67,145,Featherweight,http://www.ufc.com/athlete/jean-silva,0,2,0,14,LW,6,Orthodox
Cameron Smotherman,The Baby-Faced Killa,27,9/17/1997,Male,69,135,Bantamweight,http://www.ufc.com/athlete/cameron-smotherman,0,4,0,12,BW,7,Orthodox
Emrah Sonmez,Anatolian Wolf,32,6/26/1992,Male,70,145,Featherweight,http://www.ufc.com/athlete/emrah-sonmez,0,5,0,14,FTW,6,Orthodox
Kevin Vallejos,El Chino,23,12/8/2001,Male,67,145,Featherweight,http://www.ufc.com/athlete/kevin-vallejos,0,1,0,14,FTW,6,Switch
Mateo Vogel,Carrapato,28,3/5/1996,Male,68,145,Lightweight,http://www.ufc.com/athlete/mateo-vogel,0,3,0,8,LW,5,Orthodox
Cyborg Abreu,N/A,44,12/20/1980,N/A,N/A,0,N/A,http://www.ufc.com/athlete/cyborg-abreu,0,0,0,0,N/A,N/A,N/A
Abdul-Kareem Al-Selwady,Pride of Palestine,29,4/10/1995,Male,68,155,Lightweight,http://www.ufc.com/athlete/abdul-kareem-al-selwady,0,4,0,15,LW,5,Orthodox
Fellipe Andrew,N/A,30,10/24/1994,N/A,N/A,0,N/A,http://www.ufc.com/athlete/fellipe-andrew,0,0,0,0,N/A,N/A,N/A
Gabriel Arges,N/A,32,1/29/1993,N/A,N/A,170,N/A,http://www.ufc.com/athlete/gabriel-arges,0,0,0,0,N/A,N/A,N/A
Roman Bravo-Young,N/A,N/A,N/A,N/A,N/A,205,N/A,http://www.ufc.com/athlete/roman-bravo-young,0,1,0,0,N/A,N/A,N/A
George Hardwick,King,28,12/6/1996,Male,70,155,Lightweight,http://www.ufc.com/athlete/george-hardwick,0,2,0,12,LW,5,Orthodox
Tobias Harila,Bad Intention,31,1/13/1994,N/A,N/A,0,N/A,http://www.ufc.com/athlete/tobias-harila,0,3,0,12,N/A,N/A,N/A
Craig Jones,N/A,33,7/17/1991,N/A,N/A,205,N/A,http://www.ufc.com/athlete/craig-jones,0,0,0,0,N/A,N/A,N/A
Dan Manasoiu,N/A,N/A,N/A,Male,N/A,0,Heavyweight,http://www.ufc.com/athlete/dan-manasoiu,0,0,0,0,HW,1,N/A
Nick Meregali,N/A,N/A,N/A,Male,N/A,0,Heavyweight,http://www.ufc.com/athlete/nick-meregali,0,0,0,0,HW,1,N/A
Fedor Nikolov,N/A,N/A,N/A,N/A,N/A,0,N/A,http://www.ufc.com/athlete/fedor-nikolov,0,0,0,0,N/A,N/A,N/A
Luis Pajuelo,Corazon de Leon,30,12/18/1994,Male,70,145,Featherweight,http://www.ufc.com/athlete/luis-pajuelo,0,2,0,8,FTW,6,Orthodox
Felipe Pena,Preguica,33,10/19/1991,Male,N/A,0,Heavyweight,http://www.ufc.com/athlete/felipe-pena,0,0,0,0,HW,1,N/A
Carlos Prates,The Nightmare,31,8/17/1993,Male,73,170,Welterweight,http://www.ufc.com/athlete/carlos-prates,0,6,0,21,WW,4,Switch
Haisam Rida,N/A,31,7/25/1993,Male,N/A,0,Heavyweight,http://www.ufc.com/athlete/haisam-rida,0,0,0,0,HW,1,N/A
Pedro Rocha,N/A,N/A,N/A,N/A,N/A,0,N/A,http://www.ufc.com/athlete/pedro-rocha,0,0,0,1,N/A,N/A,N/A
Jesse Butler,N/A,32,5/24/1992,Male,70,135,Bantamweight,http://www.ufc.com/athlete/jesse-butler,0,6,0,12,BW,7,Orthodox
Ramon Taveras,The Savage,31,1/9/1994,Male,68,135,Bantamweight,http://www.ufc.com/athlete/ramon-taveras,0,3,0,10,BW,7,Southpaw
Talita Alencar,Problem Child,34,10/17/1990,Female,61,115,Womens Strawweight,http://www.ufc.com/athlete/talita-alencar,1,1,0,5,WSW,32,Orthodox
Shauna Bannon,Mama B,31,10/23/1993,Female,65,115,Womens Strawweight,http://www.ufc.com/athlete/shauna-bannon,0,1,0,6,WSW,32,Switch
Luana Santos,N/A,24,4/16/2000,Female,66,125,Womens Flyweight,http://www.ufc.com/athlete/luana-santos,0,2,0,8,WBW,35,Orthodox
Montserrat Rendon,Monster,35,3/16/1989,Female,68,135,Womens Bantamweight,http://www.ufc.com/athlete/montserrat-dolores-rendon,0,1,0,6,WBW,25,Orthodox
Robbie Ring,Razor,24,7/14/2000,Male,69,145,Featherweight,http://www.ufc.com/athlete/robbie-ring,0,1,0,6,FTW,6,Orthodox
Daria Zhelezniakova,Iron Lady,29,1/23/1996,Female,69,135,Womens Bantamweight,http://www.ufc.com/athlete/dariya-zheleznyakova,0,2,0,9,WBW,25,Orthodox
Nora Cornolle,N/A,35,12/6/1989,Female,67,135,Womens Bantamweight,http://www.ufc.com/athlete/nora-cornolle,0,2,0,8,WBW,25,Orthodox
Helena Crevar,N/A,N/A,N/A,N/A,N/A,0,N/A,https://www.ufc.com/athlete/helena-crevar,0,0,0,0,N/A,N/A,N/A
Melissa Mullins,No Mess,33,7/23/1991,Female,67,135,Womens Bantamweight,http://www.ufc.com/athlete/melissa-mullins,0,1,0,7,WBW,25,Orthodox
Emily Fernandez,N/A,N/A,N/A,N/A,N/A,0,N/A,http://www.ufc.com/athlete/emily-fernandez,0,0,0,0,N/A,N/A,N/A
Chepe Mariscal,Machine Gun,32,10/27/1992,Male,67,145,Featherweight,http://www.ufc.com/athlete/chepe-mariscal,0,6,1,17,LW,6,Orthodox
Jacqueline Cavalcanti,N/A,27,8/29/1997,Female,68,135,Womens Bantamweight,http://www.ufc.com/athlete/jacqueline-cavalcanti,0,1,0,8,WBW,25,Orthodox
Terrence Mitchell,N/A,35,12/30/1989,Male,70,135,Bantamweight,http://www.ufc.com/athlete/terrence-mitchell,0,4,0,14,BW,7,Orthodox
Nursulton Ruziboev,Black,31,11/19/1993,Male,77,170,Welterweight,http://www.ufc.com/athlete/nursulton-ruziboev,2,9,2,34,MW,4,Orthodox
Serhiy Sidey,N/A,28,7/4/1996,Male,71,135,Bantamweight,http://www.ufc.com/athlete/serhiy-sidey,0,2,0,11,BW,7,Switch
Valter Walker,The Clean Monster,27,12/14/1997,Male,78,265,Heavyweight,http://www.ufc.com/athlete/valter-walker,0,1,0,12,HW,1,Orthodox
Westin Wilson,N/A,36,1/24/1989,Male,73,145,Featherweight,http://www.ufc.com/athlete/westin-wilson,0,9,0,17,FTW,6,Southpaw
Rickson Zenidim,The King,25,2/17/1999,Male,67,125,Flyweight,http://www.ufc.com/athlete/rickson-zenidim,0,2,0,14,FLW,8,Orthodox
Davi Bittencourt,The Black,30,10/12/1994,Male,65,135,Bantamweight,http://www.ufc.com/athlete/davi-bittencourt,0,4,0,14,BW,7,Orthodox
AJ Cunningham,The Savage,30,9/7/1994,Male,70,145,Lightweight,http://www.ufc.com/athlete/aj-cunningham,0,4,0,11,FTW,5,Orthodox
Magomed Gadzhiyasulov,N/A,31,11/4/1993,Male,74,205,Light Heavyweight,http://www.ufc.com/athlete/magomed-gadzhiyasulov,0,1,0,9,LHW,2,Orthodox
James Llontop,Goku,25,8/2/1999,Male,72,155,Lightweight,http://www.ufc.com/athlete/james-llontop,0,5,0,14,LW,5,Orthodox
Jean Matsumoto,N/A,25,9/9/1999,Male,66,135,Bantamweight,http://www.ufc.com/athlete/jean-matsumoto,0,0,0,16,BW,7,Orthodox
Jose Daniel Medina,Chicho,33,5/17/1991,Male,72,185,Middleweight,http://www.ufc.com/athlete/jose-daniel-medina,0,4,0,11,LHW,3,Orthodox
Luciano Pereira,El Torito,24,1/9/2001,Male,N/A,125,Flyweight,http://www.ufc.com/athlete/luciano-pereira,0,1,0,13,FLW,8,Orthodox
Ernesta Kareckaite,Heavy-Handed,26,7/5/1998,Female,69,125,Womens Flyweight,http://www.ufc.com/athlete/ernesta-kareckaite,1,1,0,6,WFLW,35,Orthodox
Mario Piazzon,N/A,26,4/6/1998,Male,69,265,Heavyweight,http://www.ufc.com/athlete/mario-piazzon,0,0,0,8,HW,1,Orthodox
Lucas Rocha,Fenomeno,24,8/12/2000,Male,63,125,Flyweight,http://www.ufc.com/athlete/lucas-rocha,0,2,0,17,BW,8,Orthodox
Sora Rakhmonova,N/A,26,6/21/1998,Female,N/A,125,Womens Flyweight,http://www.ufc.com/athlete/sora-rakhmonova,0,1,0,4,WFLW,35,N/A
Alexander Soldatkin,N/A,31,6/10/1993,Male,74,250,Heavyweight,http://www.ufc.com/athlete/alexander-soldatkin,0,4,0,14,HW,1,Orthodox
Murtaza Talha,N/A,28,7/10/1996,Male,72,205,Light Heavyweight,http://www.ufc.com/athlete/murtaza-talha,0,1,0,6,LHW,2,Orthodox
Kasey Tanner,N/A,33,1/11/1992,Male,67,135,Bantamweight,http://www.ufc.com/athlete/kasey-tanner,0,1,0,6,BW,7,Orthodox
Yousri Belgaroui,Baby Face Assassin,32,6/2/1992,Male,77,185,Middleweight,http://www.ufc.com/athlete/yousri-belgaroui,0,3,0,8,MW,3,Orthodox
Charles Radtke,Chuck Buffalo,34,7/9/1990,Male,69,170,Welterweight,http://www.ufc.com/athlete/charles-radtke,0,4,0,10,WW,4,Orthodox
Bassil Hafez,The Habibi,33,1/31/1992,Male,71,170,Welterweight,http://www.ufc.com/athlete/bassil-hafez,1,4,0,9,WW,4,Orthodox
Rami Hamed,N/A,33,4/25/1991,Male,73,170,Welterweight,http://www.ufc.com/athlete/rami-hamed,0,3,0,13,WW,4,Orthodox
Kaynan Kruschewsky,Bahia,33,4/4/1991,Male,72,155,Lightweight,http://www.ufc.com/athlete/kaynan-kruschewsky,0,3,1,15,LW,5,Orthodox
Raimond Magomedaliev,N/A,34,6/10/1990,Male,73,170,Welterweight,http://www.ufc.com/athlete/raimond-magomedaliev,0,2,0,10,WW,4,Orthodox
Josiah Harrell,Muscle Hamster,26,11/13/1998,N/A,67,170,N/A,http://www.ufc.com/athlete/josiah-harrell,0,0,0,7,N/A,N/A,Southpaw
Dylan Mantello,The Quiet Man,32,11/19/1992,Male,73,155,Lightweight,http://www.ufc.com/athlete/dylan-mantello,0,4,0,8,LW,5,Orthodox
